No.,IPV,Time,Source,Destination,Source Port,Destination Port,Length,Protocol,Human
94,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
95,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
96,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
97,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
98,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
99,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
100,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
101,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
102,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
103,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
104,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
105,4,3.342493,3512060521,3232281142,443,49338,1179,TLSv1.2,1
106,6,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
107,4,3.342493,3512060521,3232281142,443,49338,1466,TLSv1.2,1
108,4,3.342493,3512060521,3232281142,443,49338,638,TLSv1.2,1
109,6,3.342493,3512060521,3232281142,443,49338,85,TLSv1.2,1
110,4,3.342804,3232281142,3512060521,49338,443,54,TCP,0
111,6,3.347598,3512060521,3232281142,443,49338,54,TCP,0
112,4,3.732052,60984449,3232281142,443,49604,78,TLSv1.2,1
113,4,3.732052,60984449,3232281142,443,49604,54,TCP,0
114,4,3.732159,3232281142,60984449,49604,443,54,TCP,0
116,4,3.850671,34740242,3232281142,80,50590,54,TCP,0
117,4,3.850671,34740242,3232281142,80,50593,54,TCP,0
118,4,3.850671,34740242,3232281142,80,50591,54,TCP,0
119,4,3.850743,3232281142,34740242,50590,80,54,TCP,0
120,4,3.850815,3232281142,34740242,50593,80,54,TCP,0
121,6,3.850824,3232281142,34740242,50591,80,54,TCP,0
122,4,3.859619,34740242,3232281142,80,50592,54,TCP,0
123,4,3.859652,3232281142,34740242,50592,80,54,TCP,0
124,6,4.362804,2817227836,3232281142,443,49644,78,TLSv1.2,1
125,4,4.362804,2817227836,3232281142,443,49644,54,TCP,0
126,6,4.362901,3232281142,2817227836,49644,443,54,TCP,0
127,6,4.495666,2817227836,3232281142,443,49649,78,TLSv1.2,1
128,6,4.495666,2817227836,3232281142,443,49649,54,TCP,0
129,4,4.495742,3232281142,2817227836,49649,443,54,TCP,0
130,6,4.540755,2817227836,3232281142,443,49650,78,TLSv1.2,1
131,6,4.540755,2817227836,3232281142,443,49650,54,TCP,0
132,4,4.541008,3232281142,2817227836,49650,443,54,TCP,0
133,4,4.727076,388301171,3232281142,443,50605,85,TLSv1.2,0
134,6,4.727076,388301171,3232281142,443,50605,54,TCP,0
135,6,4.727133,3232281142,388301171,50605,443,54,TCP,0
136,4,4.727171,3232281142,388301171,50605,443,54,TCP,0
137,4,4.966237,399010191,3232281142,443,50604,85,TLSv1.2,0
138,6,4.966237,399010191,3232281142,443,50604,54,TCP,0
139,4,4.966372,3232281142,399010191,50604,443,54,TCP,0
140,4,4.966473,3232281142,399010191,50604,443,54,TCP,0
144,6,5.69127,3232281112,4026531834,35247,15600,77,UDP,0
146,4,5.957925,389063955,3232281142,443,50617,85,TLSv1.2,0
147,4,5.957925,389063955,3232281142,443,50617,54,TCP,0
148,4,5.958059,3232281142,389063955,50617,443,54,TCP,0
149,4,5.958166,3232281142,389063955,50617,443,54,TCP,0
150,4,6.039241,3232281142,3512060511,49342,443,118,TLSv1.2,1
151,4,6.03932,3232281142,3512060511,49342,443,93,TLSv1.2,1
152,4,6.039341,3232281142,3512060511,49342,443,165,TLSv1.2,1
154,6,6.040366,3232281142,3232281089,49760,53,66,TCP,0
155,6,6.040596,3232281142,3232281089,49761,53,66,TCP,0
156,4,6.040789,3232281142,3232281089,49762,53,66,TCP,0
157,6,6.040909,3232281142,3232281089,49763,53,66,TCP,0
158,6,6.041075,3232281142,3232281089,49764,53,66,TCP,0
159,6,6.041179,3232281142,3232281089,49765,53,66,TCP,0
160,4,6.043612,3232281142,2817227836,49649,443,54,TCP,0
161,4,6.043663,3232281142,2817227836,49649,443,54,TCP,0
162,6,6.043787,3232281142,60984449,49604,443,54,TCP,0
163,4,6.043853,3232281142,2817227836,49650,443,54,TCP,0
164,6,6.043874,3232281142,2817227836,49650,443,54,TCP,0
165,6,6.043997,3232281142,2817227836,49644,443,54,TCP,0
166,4,6.044017,3232281142,2817227836,49644,443,54,TCP,0
167,4,6.044229,3232281142,2902291547,49399,443,132,TLSv1.2,1
168,4,6.044263,3232281142,2902291547,49399,443,93,TLSv1.2,1
169,4,6.044282,3232281142,2902291547,49399,443,277,TLSv1.2,1
170,6,6.045726,3232281089,3232281142,53,49760,66,TCP,0
171,6,6.045726,3232281089,3232281142,53,49761,66,TCP,0
172,6,6.045726,3232281089,3232281142,53,49762,66,TCP,0
173,4,6.045726,3232281089,3232281142,53,49763,66,TCP,0
174,6,6.045726,3232281089,3232281142,53,49764,66,TCP,0
175,4,6.045726,3232281089,3232281142,53,49765,66,TCP,0
176,4,6.046309,3232281142,3232281089,49760,53,54,TCP,0
177,4,6.04635,3232281142,3232281089,49761,53,54,TCP,0
178,6,6.046364,3232281142,3232281089,49762,53,54,TCP,0
179,4,6.046378,3232281142,3232281089,49763,53,54,TCP,0
180,6,6.046396,3232281142,3232281089,49764,53,54,TCP,0
181,6,6.046412,3232281142,3232281089,49765,53,54,TCP,0
182,6,6.046615,3512060511,3232281142,443,49342,54,TCP,0
183,4,6.046615,3512060511,3232281142,443,49342,93,TLSv1.2,1
184,6,6.046843,3232281142,3232281089,49760,53,56,TCP,0
185,4,6.04686,3232281142,3232281089,49762,53,56,TCP,0
186,6,6.046875,3232281142,3232281089,49761,53,56,TCP,0
187,6,6.046876,3232281142,3232281089,49760,53,91,DNS,0
188,6,6.046894,3232281142,3232281089,49762,53,86,DNS,0
189,6,6.046902,3232281142,3232281089,49763,53,56,TCP,0
190,6,6.046904,3232281142,3232281089,49761,53,91,DNS,0
191,6,6.046939,3232281142,3232281089,49763,53,86,DNS,0
192,6,6.047271,3232281142,3232281089,49764,53,56,TCP,0
193,6,6.047283,3232281142,3232281089,49764,53,89,DNS,0
194,6,6.047419,3232281142,3232281089,49765,53,56,TCP,0
195,4,6.047433,3232281142,3232281089,49765,53,89,DNS,0
197,6,6.048832,3232281089,3232281142,53,49760,54,TCP,0
198,4,6.048832,3232281089,3232281142,53,49760,54,TCP,0
199,4,6.050062,3232281089,3232281142,53,49762,54,TCP,0
200,4,6.050062,3232281089,3232281142,53,49761,54,TCP,0
201,4,6.050062,3232281089,3232281142,53,49762,54,TCP,0
202,6,6.050062,3232281089,3232281142,53,49761,54,TCP,0
203,4,6.050062,3232281089,3232281142,53,49763,54,TCP,0
204,4,6.050062,3232281089,3232281142,53,49763,54,TCP,0
205,4,6.050062,3232281089,3232281142,53,49764,54,TCP,0
206,4,6.050062,3232281089,3232281142,53,49764,54,TCP,0
207,6,6.050062,3232281089,3232281142,53,49765,54,TCP,0
208,6,6.050062,3232281089,3232281142,53,49765,54,TCP,0
209,4,6.051196,3512060511,3232281142,443,49342,54,TCP,0
212,4,6.052309,60984449,3232281142,443,49604,54,TCP,0
213,4,6.052309,3232281089,3232281142,53,49764,123,DNS,0
214,4,6.052309,3232281089,3232281142,53,49765,161,DNS,0
215,4,6.052309,2902291547,3232281142,443,49399,54,TCP,0
216,6,6.052309,2902291547,3232281142,443,49399,54,TCP,0
217,6,6.052309,2902291547,3232281142,443,49399,54,TCP,0
218,4,6.052309,2902291547,3232281142,443,49399,93,TLSv1.2,1
