ipv,deltatime,src,dst,srcport,dstport,length,proto,human
4,0.000000,3232281089,3232281142,53,49760,54,6,0
4,0.004336,3232281089,3232281142,53,49762,54,6,0
4,0.004336,3232281089,3232281142,53,49761,54,6,0
4,0.000000,3232281089,3232281142,53,49762,54,6,0
4,0.000000,3232281089,3232281142,53,49761,54,6,0
4,0.004336,3232281089,3232281142,53,49763,54,6,0
4,0.000000,3232281089,3232281142,53,49763,54,6,0
4,0.004336,3232281089,3232281142,53,49764,54,6,0
4,0.000000,3232281089,3232281142,53,49764,54,6,0
4,0.004336,3232281089,3232281142,53,49765,54,6,0
4,0.000000,3232281089,3232281142,53,49765,54,6,0
4,0.004581,3512060511,3232281142,443,49342,54,6,0
4,2.320257,60984449,3232281142,443,49604,54,6,0
4,0.002247,3232281089,3232281142,53,49764,123,6,0
4,0.002247,3232281089,3232281142,53,49765,161,6,0
4,0.000000,2902291547,3232281142,443,49399,54,6,0
4,0.000000,2902291547,3232281142,443,49399,54,6,0
4,0.000000,2902291547,3232281142,443,49399,54,6,0
4,0.000000,2902291547,3232281142,443,49399,93,6,1
4,0.005537,3232281142,3232281089,49764,53,54,6,0
4,0.005613,3232281142,3232281089,49765,53,54,6,0
4,0.000000,3232281142,1746043628,49768,443,66,6,0
4,0.000000,3232281142,3232281089,49769,53,66,6,0
4,0.000000,3232281142,3232281089,49770,53,66,6,0
4,0.002138,3232281089,3232281142,53,49764,54,6,0
4,0.002223,3232281142,3232281089,49764,53,54,6,0
4,0.000000,3232281089,3232281142,53,49769,66,6,0
4,0.002242,3232281142,3232281089,49769,53,54,6,0
4,0.000464,3232281142,3232281089,49769,53,56,6,0
4,0.000012,3232281142,3232281089,49769,53,92,6,0
4,0.004503,3232281089,3232281142,53,49765,54,6,0
4,0.000000,3232281089,3232281142,53,49770,66,6,0
4,0.003164,3232281142,3232281089,49770,53,54,6,0
4,0.004083,3232281142,3232281089,49765,53,54,6,0
4,0.000555,3232281142,3232281089,49770,53,56,6,0
4,0.000019,3232281142,3232281089,49770,53,92,6,0
4,0.002197,3232281089,3232281142,53,49769,54,6,0
4,0.000000,3232281089,3232281142,53,49769,54,6,0
4,0.002277,3232281089,3232281142,53,49770,54,6,0
4,0.000000,3232281089,3232281142,53,49770,54,6,0
4,0.012303,3232281089,3232281142,53,49762,155,6,0
4,0.012303,3232281089,3232281142,53,49763,197,6,0
4,0.013533,3232281089,3232281142,53,49760,155,6,0
4,0.015715,3232281142,3232281089,49763,53,54,6,0
4,0.015847,3232281142,3232281089,49762,53,54,6,0
4,0.015901,3232281142,3232281089,49760,53,54,6,0
4,0.000000,3232281142,3232281089,49771,53,66,6,0
4,0.000000,3232281142,3232281089,49772,53,66,6,0
4,0.014747,3232281089,3232281142,53,49761,200,6,0
4,0.000000,1746043628,3232281142,443,49768,66,6,0
4,0.000000,3232281089,3232281142,53,49771,66,6,0
4,0.000000,3232281089,3232281142,53,49772,66,6,0
4,0.011771,3232281142,1746043628,49768,443,54,6,0
4,0.002131,3232281142,3232281089,49771,53,54,6,0
4,0.001994,3232281142,3232281089,49772,53,54,6,0
4,0.000000,3232281142,3353877079,49773,443,66,6,0
4,0.003577,3232281089,3232281142,53,49763,54,6,0
4,0.003577,3232281089,3232281142,53,49760,54,6,0
4,0.003577,3232281089,3232281142,53,49762,54,6,0
4,0.000974,3232281142,3232281089,49771,53,56,6,0
4,0.003548,3232281142,3232281089,49763,53,54,6,0
4,0.000000,3232281142,3232281089,49774,80,66,6,0
4,0.000043,3232281142,3232281089,49771,53,102,6,0
4,0.003520,3232281142,3232281089,49762,53,54,6,0
4,0.003568,3232281142,3232281089,49760,53,54,6,0
4,0.000000,3232281142,3232281089,49775,53,66,6,0
4,0.001475,3232281142,1746043628,49768,443,591,6,0
4,0.000000,3232281142,3232281089,49776,53,66,6,0
4,0.019779,3232281142,3232281089,49761,53,54,6,0
4,0.001597,3232281142,3232281089,49772,53,56,6,0
4,0.000018,3232281142,3232281089,49772,53,102,6,0
4,0.003118,3232281089,3232281142,53,49771,54,6,0
4,0.000000,3232281089,3232281142,53,49771,54,6,0
4,0.000000,3232281089,3232281142,80,49774,66,6,0
4,0.001869,3232281142,3232281089,49774,80,54,6,0
4,0.000000,3232281142,580244451,65451,443,454,6,1
4,0.000830,3232281142,3232281089,49774,80,273,6,0
4,0.004104,3232281089,3232281142,53,49772,54,6,0
4,0.000000,3232281089,3232281142,53,49772,54,6,0
4,0.000000,3232281089,3232281142,53,49775,66,6,0
4,0.002489,3232281142,3232281089,49775,53,54,6,0
4,0.000555,3232281142,3232281089,49775,53,56,6,0
4,0.000011,3232281142,3232281089,49775,53,87,6,0
4,0.000000,3232281089,3232281142,53,49776,66,6,0
4,0.002526,3232281089,3232281142,80,49774,54,6,0
4,0.003903,3232281142,3232281089,49776,53,54,6,0
4,0.000604,3232281142,3232281089,49776,53,56,6,0
4,0.000018,3232281142,3232281089,49776,53,87,6,0
4,0.002531,3232281089,3232281142,53,49775,54,6,0
4,0.000000,3232281089,3232281142,53,49775,54,6,0
4,0.000000,3353877079,3232281142,443,49773,66,6,0
4,0.002285,3232281089,3232281142,53,49776,54,6,0
4,0.000000,3232281089,3232281142,53,49776,54,6,0
4,0.002285,3232281089,3232281142,80,49774,163,6,0
4,0.000000,3232281089,3232281142,80,49774,1514,6,0
4,0.007176,3232281142,3353877079,49773,443,54,6,0
4,0.004103,3232281142,3232281089,49774,80,54,6,0
4,0.000308,3232281142,3232281089,49774,80,54,6,0
4,0.000879,3232281142,3353877079,49773,443,318,6,0
4,0.002114,3232281089,3232281142,80,49774,440,6,0
4,0.001578,3232281142,3232281089,49774,80,54,6,0
4,0.011181,1746043628,3232281142,443,49768,54,6,0
4,0.017974,3232281089,3232281142,53,49769,152,6,0
4,0.016901,3232281089,3232281142,53,49770,197,6,0
4,0.019946,3232281142,3232281089,49769,53,54,6,0
4,0.018876,3232281142,3232281089,49770,53,54,6,0
4,0.000000,3232281142,3232281089,49777,53,66,6,0
4,0.000000,3232281142,3232281089,49778,53,66,6,0
4,0.012135,3232281089,3232281142,53,49761,54,6,0
4,0.010432,3232281142,3232281089,49761,53,54,6,0
4,0.010339,3232281089,3232281142,53,49771,283,6,0
4,0.005528,3353877079,3232281142,443,49773,54,6,0
4,0.000000,3232281089,3232281142,53,49777,66,6,0
4,0.025957,2902291547,3232281142,443,49399,124,6,1
4,0.000000,3232281089,3232281142,53,49778,66,6,0
4,0.000000,2902291547,3232281142,443,49399,116,6,1
4,0.000000,2902291547,3232281142,443,49399,85,6,1
4,0.001735,3232281142,3232281089,49777,53,54,6,0
4,0.034251,3232281142,2902291547,49399,443,54,6,0
4,0.001638,3232281142,3232281089,49778,53,54,6,0
4,0.000572,3232281142,2902291547,49399,443,89,6,1
4,0.012884,3232281142,3232281089,49771,53,54,6,0
4,0.000599,3232281142,3232281089,49777,53,56,6,0
4,0.000012,3232281142,3232281089,49777,53,97,6,0
4,0.000728,3232281142,3232281089,49778,53,56,6,0
4,0.000017,3232281142,3232281089,49778,53,97,6,0
4,0.004565,1746043628,3232281142,443,49768,1506,6,0
4,0.000000,1746043628,3232281142,443,49768,787,6,1
4,0.002289,2902291547,3232281142,443,49399,93,6,1
4,0.004565,3232281089,3232281142,53,49769,54,6,0
4,0.004565,3232281089,3232281142,53,49770,54,6,0
4,0.000000,580244451,3232281142,443,65451,54,6,0
4,0.002289,3353877079,3232281142,443,49773,1506,6,0
4,0.000000,3353877079,3232281142,443,49773,1506,6,0
4,0.000000,3353877079,3232281142,443,49773,1506,6,0
4,0.000000,3353877079,3232281142,443,49773,1048,6,0
4,0.002289,3232281089,3232281142,53,49777,54,6,0
4,0.000000,3232281089,3232281142,53,49777,54,6,0
4,0.002289,3232281089,3232281142,53,49778,54,6,0
4,0.000000,3232281089,3232281142,53,49778,54,6,0
4,0.014108,3232281142,1746043628,49768,443,54,6,0
4,0.001659,3232281142,2902291547,49399,443,93,6,1
4,0.012005,3232281142,580244451,65451,443,216,6,1
4,0.006933,3232281142,3353877079,49773,443,54,6,0
4,0.004604,3232281142,3232281089,49769,53,54,6,0
4,0.004584,3232281142,3232281089,49770,53,54,6,0
4,0.000586,3232281142,1746043628,49768,443,118,6,0
4,0.001258,3232281089,3232281142,53,49777,163,6,0
4,0.001258,3232281089,3232281142,53,49778,156,6,0
4,0.012900,3232281089,3232281142,53,49772,269,6,0
4,0.000000,3232281142,580244451,65446,443,457,6,1
4,0.000092,3232281142,580244451,65446,443,1466,6,0
4,0.000000,3232281142,580244451,65446,443,1466,6,0
4,0.000000,3232281142,580244451,65446,443,1466,6,0
4,0.000000,3232281142,580244451,65446,443,1466,6,0
4,0.000000,3232281142,580244451,65446,443,1466,6,0
4,0.000000,3232281142,580244451,65446,443,1227,6,1
4,0.002840,3232281142,3232281089,49778,53,54,6,0
4,0.015367,3232281142,3232281089,49772,53,54,6,0
4,0.000000,3232281142,3232281089,49779,53,66,6,0
4,0.000000,3232281142,3232281089,49780,53,66,6,0
4,0.004681,3232281089,3232281142,53,49771,54,6,0
4,0.004089,3232281142,3232281089,49771,53,54,6,0
4,0.000000,3232281089,3232281142,53,49779,66,6,0
4,0.000000,3232281089,3232281142,53,49780,66,6,0
4,0.003062,3232281089,3232281142,53,49778,54,6,0
4,0.002607,3232281142,3232281089,49779,53,54,6,0
4,0.002507,3232281142,3232281089,49780,53,54,6,0
4,0.003130,3232281142,3232281089,49778,53,54,6,0
4,0.000682,3232281142,3232281089,49779,53,56,6,0
4,0.000675,3232281142,3232281089,49780,53,56,6,0
4,0.000022,3232281142,3232281089,49779,53,89,6,0
4,0.000022,3232281142,3232281089,49780,53,89,6,0
4,0.004058,3232281089,3232281142,53,49772,54,6,0
4,1.590205,2817227836,3232281142,443,49649,54,6,0
4,1.545116,2817227836,3232281142,443,49650,54,6,0
4,1.723067,2817227836,3232281142,443,49644,54,6,0
4,0.005316,580244451,3232281142,443,65451,54,6,0
4,0.042268,3232281142,2817227836,49649,443,54,6,0
4,0.042073,3232281142,2817227836,49650,443,54,6,0
4,0.041938,3232281142,2817227836,49644,443,54,6,0
4,0.003901,3232281142,3232281089,49772,53,54,6,0
4,0.006623,2902291547,3232281142,443,49399,54,6,0
4,0.002303,3232281089,3232281142,53,49779,54,6,0
4,0.002303,3232281089,3232281142,53,49780,54,6,0
4,0.000000,3232281089,3232281142,53,49780,54,6,0
4,0.000000,3232281089,3232281142,53,49779,54,6,0
4,0.001125,3232281089,3232281142,53,49779,123,6,0
4,0.001125,3232281089,3232281142,53,49780,161,6,0
4,0.000000,580244451,3232281142,443,65446,54,6,0
4,0.000000,580244451,3232281142,443,65446,54,6,0
4,0.000000,580244451,3232281142,443,65446,54,6,0
4,0.002851,3232281142,3232281089,49779,53,54,6,0
4,0.002935,3232281142,3232281089,49780,53,54,6,0
4,0.000000,3232281142,3232281089,49781,53,66,6,0
4,0.000000,3232281142,3232281089,49782,53,66,6,0
4,0.008826,1746043628,3232281142,443,49768,566,6,0
4,0.002308,3232281089,3232281142,53,49779,54,6,0
4,0.000000,3232281089,3232281142,53,49781,66,6,0
4,0.000000,3232281089,3232281142,53,49782,66,6,0
4,0.002308,3232281089,3232281142,53,49780,54,6,0
4,0.002193,3232281142,3232281089,49779,53,54,6,0
4,0.001671,3232281142,3232281089,49781,53,54,6,0
4,0.001553,3232281142,3232281089,49782,53,54,6,0
4,0.051633,3232281142,3512060511,49342,443,54,6,0
4,0.002283,3232281142,3232281089,49780,53,54,6,0
4,0.000575,3232281142,3232281089,49782,53,56,6,0
4,0.000017,3232281142,3232281089,49782,53,102,6,0
4,0.004468,580244451,3232281142,443,65446,54,6,0
4,0.002160,3232281089,3232281142,53,49782,54,6,0
4,0.000000,3232281089,3232281142,53,49782,54,6,0
4,0.001124,3232281089,3232281142,53,49782,193,6,0
4,0.002796,3232281142,3232281089,49782,53,54,6,0
4,0.045118,3512060511,3232281142,443,49342,128,6,1
4,0.000000,3512060511,3232281142,443,49342,485,6,1
4,0.000000,3512060511,3232281142,443,49342,136,6,1
4,0.000000,3512060511,3232281142,443,49342,93,6,1
4,0.005401,3232281142,3512060511,49342,443,54,6,0
4,0.000498,3232281142,3512060511,49342,443,89,6,1
4,0.000053,3232281142,3512060511,49342,443,93,6,1
4,0.003729,3232281089,3232281142,53,49782,54,6,0
4,0.003606,3232281142,3232281089,49782,53,54,6,0
4,0.000000,3232281142,3353877125,49783,80,66,6,0
4,0.005788,3512060511,3232281142,443,49342,54,6,0
4,0.016231,580244451,3232281142,443,65451,418,6,1
4,0.000000,3512060511,3232281142,443,49342,54,6,0
4,0.009331,580244451,3232281142,443,65446,449,6,1
4,0.000000,3353877125,3232281142,80,49783,66,6,0
4,0.004968,3232281142,3353877125,49783,80,54,6,0
4,0.000114,3232281142,3353877125,49783,80,314,6,0
4,0.005559,3353877125,3232281142,80,49783,54,6,0
4,0.001143,3353877125,3232281142,80,49783,1506,6,0
4,0.000000,3353877125,3232281142,80,49783,563,6,0
4,0.006505,3232281142,3353877125,49783,80,54,6,0
4,0.000000,1745972076,3232281142,443,65168,469,6,1
4,0.000000,3232281142,1745972076,65168,443,404,6,1
4,0.026687,3232281142,3232281089,49781,53,56,6,0
4,0.000022,3232281142,3232281089,49781,53,102,6,0
4,0.038477,3232281142,3232281089,49777,53,54,6,0
4,0.037238,3232281142,3353877079,49773,443,147,6,0
4,0.000014,3232281142,3353877079,49773,443,211,6,0
4,0.028727,3232281089,3232281142,53,49781,54,6,0
4,0.000000,3232281089,3232281142,53,49781,54,6,0
4,0.000000,3232281089,3232281142,53,49781,197,6,0
4,0.001569,3232281142,3353877079,49773,443,1506,6,1
4,0.000000,3232281142,3353877079,49773,443,1506,6,0
4,0.000000,3232281142,3353877079,49773,443,1506,6,0
4,0.000000,3232281142,3353877079,49773,443,175,6,1
4,0.002355,3232281142,3232281089,49781,53,54,6,0
4,0.038905,3232281089,3232281142,53,49777,54,6,0
4,0.003389,3232281142,3232281089,49777,53,54,6,0
4,0.002371,3232281089,3232281142,53,49781,54,6,0
4,0.002018,3232281142,3232281089,49781,53,54,6,0
4,0.042238,3353877079,3232281142,443,49773,54,6,0
4,0.000000,3353877079,3232281142,443,49773,54,6,0
4,0.000000,3353877079,3232281142,443,49773,105,6,0
4,0.000000,3353877079,3232281142,443,49773,120,6,1
4,0.003263,3232281142,3353877079,49773,443,54,6,0
4,0.000262,3232281142,3353877079,49773,443,92,6,1
4,0.052393,3232281089,3232281142,53,49775,175,6,0
4,0.051099,3232281089,3232281142,53,49776,220,6,0
4,0.001044,3353877079,3232281142,443,49773,54,6,0
4,0.054575,3232281142,3232281089,49775,53,54,6,0
4,0.053109,3232281142,3232281089,49776,53,54,6,0
4,0.001147,3353877079,3232281142,443,49773,54,6,0
4,0.002344,3232281089,3232281142,53,49775,54,6,0
4,0.002344,3232281089,3232281142,53,49776,54,6,0
4,0.008987,1745972076,3232281142,443,65168,54,6,0
4,0.002268,3232281142,3232281089,49775,53,54,6,0
4,0.002191,3232281142,3232281089,49776,53,54,6,0
4,0.002248,3353877079,3232281142,443,49773,54,6,0
4,0.054499,3232281142,1746043628,49768,443,54,6,0
4,0.070946,3232281142,580244451,65451,443,54,6,0
4,0.069773,3232281142,580244451,65446,443,54,6,0
4,0.038567,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,625,6,1
4,0.042729,3232281142,3353877079,49773,443,54,6,0
4,0.045326,3232281142,3353877079,49773,443,1506,6,1
4,0.000000,3232281142,3353877079,49773,443,1506,6,0
4,0.000000,3232281142,3353877079,49773,443,1306,6,1
4,0.001103,3232281142,3353877079,49773,443,1506,6,1
4,0.000000,3232281142,3353877079,49773,443,1506,6,0
4,0.000000,3232281142,3353877079,49773,443,1311,6,1
4,0.050373,3353877079,3232281142,443,49773,54,6,0
4,0.000000,3353877079,3232281142,443,49773,54,6,0
4,0.000000,3353877079,3232281142,443,49773,54,6,0
4,0.011016,3353877079,3232281142,443,49773,210,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,908,6,1
4,0.015051,3232281142,3353877079,49773,443,54,6,0
4,0.041019,3232281142,3353877079,49773,443,1506,6,1
4,0.000000,3232281142,3353877079,49773,443,1506,6,0
4,0.000000,3232281142,3353877079,49773,443,1369,6,1
4,0.001263,3232281142,3353877079,49773,443,1506,6,1
4,0.000000,3232281142,3353877079,49773,443,1506,6,0
4,0.000000,3232281142,3353877079,49773,443,1305,6,1
4,0.045863,3353877079,3232281142,443,49773,54,6,0
4,0.000147,3353877079,3232281142,443,49773,54,6,0
4,0.000995,3353877079,3232281142,443,49773,212,6,1
4,0.017250,3353877079,3232281142,443,49773,212,6,0
4,0.021859,3232281142,3353877079,49773,443,66,6,0
4,0.007835,3353877079,3232281142,443,49773,196,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
4,0.000000,3353877079,3232281142,443,49773,1506,6,1
