number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
2,49445,443,6,55,0,0,0,0,0,0
3,443,49445,6,66,11.00000000,0.00612593,0,0,0,0
5,60048,3289,17,56,4.50000000,0.06552792,0,0,0,0
7,443,49196,6,139,80.00000000,0.57277203,0,0,0,1
8,443,49196,6,85,6.00000000,0.00000000,112.00000000,54.00000000,0.00000000,1
9,443,49196,6,93,12.80000000,0.00000000,105.66666667,19.00000000,0.00000000,1
10,49196,443,6,54,28.33333333,0.00010419,0,0,0,0
11,49196,443,6,89,10.71428571,0.00020599,71.50000000,35.00000000,0.00020599,1
12,49196,443,6,93,13.37500000,0.00003386,78.66666667,21.50000000,0.00003386,1
13,443,49196,6,54,27.11111111,0.00646114,92.75000000,51.66666667,0.00680518,0
14,443,49196,6,54,24.40000000,0.00000000,85.00000000,38.75000000,0.00000000,0
15,49195,443,6,284,207.81818182,0.00993800,0,0,0,1
16,49195,443,6,93,0.50000000,0.00004292,188.50000000,191.00000000,0.00004292,1
17,443,49195,6,54,39.46153846,0.00619292,0,0,0,0
18,443,49195,6,93,2.35714286,0.00000000,73.50000000,39.00000000,0.00000000,1
19,49195,443,6,54,36.80000000,0.04053307,143.66666667,134.50000000,0.04672599,0
20,443,49195,6,123,34.50000000,0.06045794,90.00000000,49.50000000,0.10099101,1
21,443,49195,6,85,5.52941176,0.00000000,88.75000000,5.00000000,0.00000000,1
22,49195,443,6,54,36.22222222,0.00009704,121.25000000,89.66666667,0.06055498,0
23,49196,443,6,1466,1377.68421053,0.00127697,425.50000000,1387.33333333,0.12500000,0
24,49196,443,6,1466,1308.80000000,0.00000000,633.60000000,1040.50000000,0.00000000,0
25,49196,443,6,191,28.52380952,0.00000000,559.83333333,442.60000000,0.00000000,1
26,443,49195,6,93,125.22727273,0.00287604,89.60000000,4.25000000,0.00425005,1
27,49195,443,6,93,119.78260870,0.00042605,115.60000000,28.25000000,0.00457907,1
28,443,49196,6,54,153.79166667,0.00275803,79.83333333,31.00000000,0.12459898,0
29,443,49196,6,54,147.64000000,0.00000000,76.14285714,25.83333333,0.00000000,0
30,443,49196,6,54,141.96153846,0.00000000,73.37500000,22.14285714,0.00000000,0
31,443,49195,6,54,136.70370370,0.00794291,83.66666667,35.60000000,0.01112700,0
32,443,49196,6,121,64.82142857,0.08944511,78.66666667,47.62500000,0.09738803,1
33,443,49196,6,103,80.58620690,0.00000000,81.10000000,24.33333333,0.00000000,1
34,49196,443,6,54,126.90000000,0.00005579,487.57142857,505.83333333,0.10350394,0
38,68,67,17,590,413.19354839,0.73617315,0,0,0,0
39,67,68,17,590,400.28125000,0.00000000,0,0,0,0
40,443,65140,6,79,122.84848485,0.38206887,0,0,0,1
41,65140,443,6,83,115.23529412,0.00075197,0,0,0,1
42,443,65140,6,54,140.94285714,0.08997822,66.50000000,25.00000000,0.09073019,0
43,41085,15600,17,77,114.02777778,0.54936600,0,0,0,0
48,49338,443,6,1404,1216.05405405,0.51011086,0,0,0,0
49,49338,443,6,93,126.94736842,0.00006413,748.50000000,1311.00000000,0.00006413,1
54,443,49338,6,54,162.69230769,0.00698185,0,0,0,0
55,443,49338,6,54,158.62500000,0.00000000,54.00000000,0.00000000,0.00000000,0
56,443,49338,6,93,115.75609756,0.00000000,67.00000000,39.00000000,0.00000000,1
57,49338,443,6,1466,1260.00000000,0.00070095,987.66666667,717.50000000,0.00768280,1
58,49338,443,6,147,88.30232558,0.00000000,777.50000000,840.66666667,0.00000000,1
59,443,49338,6,54,179.29545455,0.00675416,63.75000000,13.00000000,0.00745511,0
60,49338,443,6,1453,1223.68888889,0.01084685,912.60000000,675.50000000,0.01760101,0
61,443,49338,6,343,87.08695652,0.00932002,119.60000000,279.25000000,0.02016687,1
