number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
7137,53588,443,6,66,821.50932548,0.00014091,168.11111111,103.06542056,0.00014091,0
7138,443,53588,6,1490,602.60586091,0.00387907,1270.33596838,220.53571429,0.00414491,1
7139,443,53588,6,1490,602.52137950,0.00000095,1271.20078740,219.66403162,0.00000095,1
7140,443,53588,6,1131,243.43692178,0.00000095,1270.65098039,140.20078740,0.00000095,1
7141,53588,443,6,66,821.59719692,0.00004506,167.17431193,102.11111111,0.00392604,0
7142,53588,443,6,66,821.48206278,0.00013399,166.25454545,101.17431193,0.00013399,0
7143,443,53588,6,1490,602.63303909,0.00289512,1271.50781250,219.34901961,0.00307417,1
7144,443,53588,6,1490,602.54861306,0.00000095,1272.35797665,218.49218750,0.00000095,1
7145,443,53588,6,1249,361.46421067,0.00000095,1272.26744186,23.35797665,0.00000095,1
7146,53588,443,6,66,821.58641457,0.00004196,165.35135135,100.25454545,0.00293899,0
7147,53588,443,6,66,821.47136255,0.00007200,164.46428571,99.35135135,0.00007200,0
7148,443,53588,6,1490,602.64365724,0.00190306,1273.10810811,217.73255814,0.00201702,1
7149,443,53588,6,1490,602.55928881,0.00000095,1273.94230769,216.89189189,0.00000095,1
7150,443,53588,6,1243,355.47494401,0.00000095,1273.82375479,30.94230769,0.00000095,1
7151,53588,443,6,66,821.57480756,0.00009918,163.59292035,98.46428571,0.00200415,0
7152,53588,443,6,66,821.45983767,0.00008798,162.73684211,97.59292035,0.00008798,0
7153,443,53588,6,1490,602.65510004,0.00236583,1274.64885496,216.17624521,0.00255299,1
7154,53588,443,6,66,821.42921097,0.00007200,161.89565217,96.73684211,0.00243783,0
7155,443,53588,6,1490,602.68569031,0.00029206,1275.46768061,215.35114504,0.00036407,1
7156,443,53588,6,1249,361.60139860,0.00000095,1275.36742424,26.46768061,0.00000095,1
7157,53588,443,6,66,821.44916795,0.00002503,161.06896552,95.89565217,0.00031805,0
7158,443,53588,6,1490,602.66568792,0.00487399,1276.17735849,214.63257576,0.00489902,1
7159,443,53588,6,1490,602.58143436,0.00000095,1276.98120301,213.82264151,0.00000095,1
7160,443,53588,6,1438,550.49720436,0.00000119,1277.58426966,161.01879699,0.00000119,0
7161,53588,443,6,66,821.57973445,0.00008392,160.25641026,95.06896552,0.00496006,0
7162,53588,443,6,66,821.46492454,0.00015402,159.45762712,94.25641026,0.00015402,0
7163,53591,443,6,263,624.35014671,0.00316191,240.86666667,23.71428571,2.26692605,1
7164,53588,443,6,636,251.26292260,0.00086904,163.46218487,476.54237288,0.00403094,1
7165,443,53588,6,66,821.22782512,0.00664806,1273.06343284,1211.58426966,0.01091695,0
7166,443,53588,6,1490,602.88687151,0.00721097,1273.86988848,216.93656716,0.00721097,1
7167,443,53588,6,1490,602.80268119,0.00000000,1274.67037037,216.13011152,0.00000000,1
7168,443,53588,6,1173,285.71851438,0.00000000,1274.29520295,101.67037037,0.00000000,1
7169,53588,443,6,66,821.32137373,0.00011587,162.65000000,97.46218487,0.01397491,0
7170,443,53588,6,1490,602.79327192,0.01754618,1275.08823529,215.70479705,0.01766205,1
7171,443,53588,6,1490,602.70914166,0.00000191,1275.87545788,214.91176471,0.00000191,1
7172,443,53588,6,1165,277.62503489,0.00000000,1275.47080292,110.87545788,0.00000000,1
7173,53588,443,6,66,821.41370169,0.00017309,161.85123967,96.65000000,0.01772118,0
7174,443,53588,6,1490,602.70089286,0.00116682,1276.25090909,214.52919708,0.00133991,1
7175,443,53588,6,1490,602.61682243,0.00107813,1277.02536232,213.74909091,0.00107813,1
7176,443,53588,6,1490,602.53277545,0.00000095,1277.79422383,212.97463768,0.00000095,1
7177,443,53588,6,1490,602.44875192,0.00000095,1278.55755396,212.20577617,0.00000095,1
7178,443,53588,6,1490,602.36475181,0.00000119,1279.31541219,211.44244604,0.00000119,1
7179,443,53588,6,1140,252.28077513,0.00000095,1278.81785714,139.31541219,0.00000095,1
7180,443,53588,6,1490,602.24560914,0.00000000,1279.56939502,211.18214286,0.00000000,1
7181,443,53588,6,1490,602.16167247,0.00000095,1280.31560284,210.43060498,0.00000095,1
7182,443,53588,6,1389,501.07775920,0.00000095,1280.69964664,108.68439716,0.00000095,1
7183,53588,443,6,66,821.99205796,0.00020504,161.06557377,95.85123967,0.00245595,0
7184,443,53588,6,1490,602.12245751,0.00984001,1281.43661972,209.30035336,0.01004505,1
7185,443,53588,6,1490,602.03858476,0.00000191,1282.16842105,208.56338028,0.00000191,1
7186,443,53588,6,1424,535.95473538,0.00000000,1282.66433566,141.83157895,0.00000000,0
7187,53588,443,6,66,822.11989974,0.00023198,160.29268293,95.06557377,0.01007390,0
7188,443,53588,6,1490,601.99456976,0.00290704,1283.38675958,207.33566434,0.00313902,1
7189,443,53588,6,1490,601.91076152,0.00000095,1284.10416667,206.61324042,0.00000095,1
7190,53588,443,6,66,822.17302339,0.00010800,159.53225806,94.29268293,0.00301600,0
7191,443,53588,6,1490,601.94140571,0.00099301,1284.81660900,205.89583333,0.00110102,1
7192,443,53588,6,1490,601.85763986,0.00000095,1285.52413793,205.18339100,0.00000095,1
7193,443,53588,6,1490,601.77389731,0.00000119,1286.22680412,204.47586207,0.00000119,1
7194,443,53588,6,1490,601.69017807,0.00000095,1286.92465753,203.77319588,0.00000095,1
