number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
1,22,53322,6,150,0,0,150,0,0,0
2,53322,22,6,66,84.00000000,0.00014091,66,0,0,0
3,53329,443,6,251,143.00000000,0.08688998,251,0,0,0
4,443,53844,6,126,29.66666667,0.01962495,126,0,0,1
5,443,53329,6,70,78.25000000,0.00000215,70,0,0,0
6,53329,443,6,66,66.60000000,0.00015497,158.50000000,185.00000000,0.01978207,0
7,53844,443,6,66,55.50000000,0.00015187,66,0,0,0
8,443,53329,6,187,73.42857143,0.00529504,128.50000000,117.00000000,0.00560188,0
9,53329,443,6,66,56.75000000,0.00008607,127.66666667,92.50000000,0.00553298,0
10,443,53341,6,178,61.55555556,0.08850002,178,0,0,1
11,53341,443,6,66,56.60000000,0.00010991,66,0,0,0
12,53833,443,6,105,12.45454545,0.28156209,105,0,0,1
13,53833,443,6,90,26.41666667,0.00044203,97.50000000,15.00000000,0.00044203,1
14,53833,443,6,66,48.38461538,0.00004387,87.00000000,31.50000000,0.00004387,0
15,443,53833,6,66,44.92857143,0.00754404,66,0,0,0
16,443,53833,6,66,41.93333333,0.00039196,66.00000000,0.00000000,0.00039196,0
17,443,53833,6,66,39.31250000,0.00000095,66.00000000,0.00000000,0.00000095,0
18,53833,443,6,66,37.00000000,0.00010109,81.75000000,21.00000000,0.00803804,0
19,443,53332,6,331,230.05555556,0.15333414,331,0,0,1
20,443,53332,6,116,2.94736842,0.00003386,223.50000000,215.00000000,0.00003386,1
21,53332,443,6,66,47.20000000,0.00011110,66,0,0,0
22,53332,443,6,66,44.95238095,0.00015783,66.00000000,0.00000000,0.00015783,0
23,443,53332,6,252,143.09090909,0.00060916,233.00000000,28.50000000,0.00087810,1
24,443,53332,6,105,10.13043478,0.00000095,201.00000000,128.00000000,0.00000095,1
25,53332,443,6,66,48.70833333,0.00005603,66.00000000,0.00000000,0.00066614,0
26,53332,443,6,105,7.76000000,0.00019383,75.75000000,39.00000000,0.00019383,1
27,443,53332,6,66,46.46153846,0.00484514,174.00000000,135.00000000,0.00509501,0
28,53332,443,6,1466,1355.25925926,0.00682902,353.80000000,1390.25000000,0.01167417,0
29,53332,443,6,1466,1306.85714286,0.00000191,539.16666667,1112.20000000,0.00000191,0
30,53332,443,6,249,44.79310345,0.00001812,497.71428571,290.16666667,0.00001812,1
31,443,53332,6,66,139.70000000,0.00465989,156.00000000,108.00000000,0.01150894,0
32,443,53332,6,66,135.19354839,0.00055599,143.14285714,90.00000000,0.00055599,0
33,443,53332,6,66,130.96875000,0.00000000,133.50000000,77.14285714,0.00000000,0
