number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
4315,443,51595,6,1506,712.61582324,0.00000000,1459.30815710,46.76248109,0.00000000,0
4316,443,51595,6,1506,712.44655582,0.00000000,1459.37858220,46.69184290,0.00000000,0
4317,443,51595,6,1506,712.27736880,0.00000000,1459.44879518,46.62141780,0.00000000,0
4318,443,51595,6,1506,712.10826211,0.00000000,1459.51879699,46.55120482,0.00000000,0
4319,51595,443,6,54,740.06076430,0.00024009,294.05263158,246.54054054,0.00028801,0
4320,443,51595,6,1506,712.11485524,0.00004601,1459.58858859,46.48120301,0.00028610,0
4321,443,51595,6,1506,711.94590747,0.00000000,1459.65817091,46.41141141,0.00000000,0
4322,443,51595,6,1506,711.77703985,0.00000000,1459.72754491,46.34182909,0.00000000,0
4323,443,51595,6,1506,711.60825231,0.00000000,1459.79671151,46.27245509,0.00000000,0
4324,443,51595,6,1506,711.43954481,0.00000000,1459.86567164,46.20328849,0.00000000,0
4325,443,51595,6,1506,711.27091728,0.00000000,1459.93442623,46.13432836,0.00000000,0
4326,443,51595,6,1506,711.10236967,0.00000000,1460.00297619,46.06557377,0.00000000,0
4327,443,51595,6,1506,710.93390192,0.00000000,1460.07132244,45.99702381,0.00000000,0
4328,443,51595,6,1506,710.76551397,0.00000000,1460.13946588,45.92867756,0.00000000,0
4329,443,51595,6,1506,710.59720578,0.00000000,1460.20740741,45.86053412,0.00000000,0
4330,443,51595,6,1506,710.42897727,0.00000000,1460.27514793,45.79259259,0.00000000,0
4331,443,51595,6,1506,710.26082840,0.00000000,1460.34268833,45.72485207,0.00000000,0
4332,443,51595,6,1506,710.09275911,0.00000000,1460.41002950,45.65731167,0.00000000,1
4333,443,51595,6,1506,709.92476934,0.00000000,1460.47717231,45.58997050,0.00000000,0
4334,443,51595,6,1506,709.75685904,0.00000000,1460.54411765,45.52282769,0.00000000,0
4335,443,51595,6,1506,709.58902814,0.00000000,1460.61086637,45.45588235,0.00000000,0
4336,443,51595,6,1506,709.42127660,0.00000000,1460.67741935,45.38913363,0.00000000,0
4337,443,51595,6,1506,709.25360435,0.00000000,1460.74377745,45.32258065,0.00000000,0
4338,443,51595,6,1506,709.08601134,0.00000000,1460.80994152,45.25622255,0.00000000,0
4339,443,51595,6,1506,708.91849752,0.00000000,1460.87591241,45.19005848,0.00000000,0
4340,443,51595,6,1506,708.75106282,0.00000000,1460.94169096,45.12408759,0.00000000,0
4341,443,51595,6,1506,708.58370720,0.00000000,1461.00727802,45.05830904,0.00000000,0
4342,443,51595,6,1506,708.41643059,0.00000000,1461.07267442,44.99272198,0.00000000,0
4343,443,51595,6,1506,708.24923295,0.00000000,1461.13788099,44.92732558,0.00000000,0
4344,443,51595,6,1506,708.08211420,0.00000000,1461.20289855,44.86211901,0.00000000,0
4345,443,51595,6,1506,707.91507431,0.00000000,1461.26772793,44.79710145,0.00000000,0
4346,443,51595,6,1506,707.74811321,0.00000000,1461.33236994,44.73227207,0.00000000,0
4347,443,51595,6,1506,707.58123084,0.00000000,1461.39682540,44.66763006,0.00000000,0
4348,443,51595,6,1506,707.41442716,0.00000000,1461.46109510,44.60317460,0.00000000,0
4349,443,51595,6,1506,707.24770210,0.00000000,1461.52517986,44.53890490,0.00000000,0
4350,443,51595,6,1506,707.08105561,0.00000000,1461.58908046,44.47482014,0.00000000,0
4351,443,51595,6,1506,706.91448763,0.00000000,1461.65279770,44.41091954,0.00000000,0
4352,51595,443,6,54,745.25200188,0.00024891,287.89743590,240.05263158,0.00029492,0
4353,443,51595,6,1506,706.92347539,0.00004792,1461.71633238,44.34720230,0.00029683,0
4354,443,51595,6,1506,706.75706215,0.00000000,1461.77968526,44.28366762,0.00000000,0
4355,443,51595,6,1506,706.59072723,0.00000000,1461.84285714,44.22031474,0.00000000,0
4356,443,51595,6,1506,706.42447059,0.00000000,1461.90584879,44.15714286,0.00000000,1
4357,443,51595,6,1506,706.25829217,0.00000000,1461.96866097,44.09415121,0.00000000,0
4358,443,51595,6,1506,706.09219191,0.00000000,1462.03129445,44.03133903,0.00000000,0
4359,443,51595,6,1506,705.92616976,0.00000000,1462.09375000,43.96870555,0.00000000,0
4360,443,51595,6,1506,705.76022567,0.00000000,1462.15602837,43.90625000,0.00000000,0
4361,443,51595,6,1506,705.59435958,0.00000000,1462.21813031,43.84397163,0.00000000,0
4362,443,51595,6,1506,705.42857143,0.00000000,1462.28005658,43.78186969,0.00000000,0
4363,443,51595,6,1506,705.26286117,0.00000000,1462.34180791,43.71994342,0.00000000,0
4364,443,51595,6,1506,705.09722875,0.00000000,1462.40338505,43.65819209,0.00000000,0
4365,443,51595,6,1506,704.93167410,0.00000000,1462.46478873,43.59661495,0.00000000,0
4366,443,51595,6,1506,704.76619718,0.00000000,1462.52601969,43.53521127,0.00000000,0
4367,443,51595,6,1506,704.60079793,0.00000000,1462.58707865,43.47398031,0.00000000,0
4368,443,51595,6,1506,704.43547630,0.00000000,1462.64796634,43.41292135,0.00000000,0
4369,443,51595,6,1506,704.27023223,0.00000000,1462.70868347,43.35203366,0.00000000,0
4370,443,51595,6,1506,704.10506567,0.00000000,1462.76923077,43.29131653,0.00000000,0
4371,443,51595,6,1506,703.93997655,0.00000000,1462.82960894,43.23076923,0.00000000,0
4372,443,51595,6,1506,703.77496484,0.00000000,1462.88981869,43.17039106,0.00000000,0
4373,443,51595,6,1506,703.61003047,0.00000000,1462.94986072,43.11018131,0.00000000,0
4374,443,51595,6,1506,703.44517338,0.00000000,1463.00973574,43.05013928,0.00000000,0
4375,443,51595,6,1506,703.28039353,0.00000000,1463.06944444,42.99026426,0.00000000,0
4376,443,51595,6,1506,703.11569087,0.00000000,1463.12898752,42.93055556,0.00000000,0
4377,443,51595,6,1506,702.95106532,0.00000000,1463.18836565,42.87101248,0.00000000,0
4378,443,51595,6,1506,702.78651685,0.00000000,1463.24757953,42.81163435,0.00000000,1
4379,443,51595,6,1506,702.62204540,0.00000000,1463.30662983,42.75242047,0.00000000,0
4380,443,51595,6,1506,702.45765091,0.00000000,1463.36551724,42.69337017,0.00000000,0
4381,443,51595,6,1506,702.29333333,0.00000000,1463.42424242,42.63448276,0.00000000,0
4382,443,51595,6,1506,702.12909261,0.00000000,1463.48280605,42.57575758,0.00000000,0
4383,443,51595,6,1506,701.96492869,0.00000000,1463.54120879,42.51719395,0.00000000,0
4384,443,51595,6,1506,701.80084151,0.00000000,1463.59945130,42.45879121,0.00000000,0
4385,51595,443,6,54,750.36316896,0.00026011,282.05000000,233.89743590,0.00030804,0
4386,443,51595,6,1506,701.81214953,0.00110292,1463.65753425,42.40054870,0.00136304,0
4387,443,51595,6,1506,701.64821303,0.00000000,1463.71545828,42.34246575,0.00000000,0
4388,443,51595,6,1506,701.48435311,0.00000000,1463.77322404,42.28454172,0.00000000,0
4389,443,51595,6,1506,701.32056969,0.00000000,1463.83083220,42.22677596,0.00000000,0
